,mature_mirna_acc,mature_mirna_id,target_symbol,target_entrez,target_ensembl,diana_microt,elmmo,microcosm,miranda,mirdb,pictar,pita,targetscan,predicted.sum,all.sum
61,MIMAT0002820,hsa-miR-497-5p,PLEKHA1,59338,ENSG00000107679,2,2,0,2,0,2,1,1,6,6
62,MIMAT0002820,hsa-miR-497-5p,PRKAR2A,5576,ENSG00000114302,2,2,0,1,0,1,1,1,6,6
63,MIMAT0002820,hsa-miR-497-5p,PTPN3,5774,ENSG00000070159,2,2,0,0,2,1,1,1,6,6
64,MIMAT0002820,hsa-miR-497-5p,PTPRD,5789,ENSG00000153707,1,2,0,1,1,0,1,1,6,6
65,MIMAT0002820,hsa-miR-497-5p,PURA,5813,ENSG00000185129,1,2,0,1,0,1,2,1,6,6
66,MIMAT0002820,hsa-miR-497-5p,QKI,9444,ENSG00000112531,0,4,0,1,1,3,2,1,6,6
67,MIMAT0002820,hsa-miR-497-5p,RBBP6,5930,ENSG00000122257,2,2,0,1,1,0,1,1,6,6
68,MIMAT0002820,hsa-miR-497-5p,RBM24,221662,ENSG00000112183,2,2,0,2,1,0,1,1,6,6
69,MIMAT0002820,hsa-miR-497-5p,RECK,8434,ENSG00000122707,2,2,0,2,2,0,1,1,6,6
70,MIMAT0002820,hsa-miR-497-5p,RNF217,154214,ENSG00000146373,1,2,0,2,1,0,1,2,6,6
71,MIMAT0002820,hsa-miR-497-5p,SCN8A,6334,ENSG00000196876,0,2,1,2,1,1,1,0,6,6
72,MIMAT0002820,hsa-miR-497-5p,SIPA1L2,57568,ENSG00000116991,2,2,0,1,1,0,1,1,6,6
73,MIMAT0002820,hsa-miR-497-5p,SLC20A2,6575,ENSG00000168575,1,2,0,1,2,0,1,1,6,6
74,MIMAT0002820,hsa-miR-497-5p,SLC9A6,10479,ENSG00000198689,1,4,0,6,2,1,0,1,6,6
75,MIMAT0002820,hsa-miR-497-5p,SMAD7,4092,ENSG00000101665,2,2,0,1,2,0,1,1,6,6
76,MIMAT0002820,hsa-miR-497-5p,SMURF1,57154,ENSG00000198742,1,4,0,1,2,1,0,1,6,6
77,MIMAT0002820,hsa-miR-497-5p,SOBP,55084,ENSG00000112320,2,2,0,1,1,0,1,1,6,6
78,MIMAT0002820,hsa-miR-497-5p,SOCS6,9306,ENSG00000170677,1,2,0,0,1,1,1,1,6,6
79,MIMAT0002820,hsa-miR-497-5p,SON,6651,ENSG00000159140,1,2,1,1,1,0,1,0,6,6
80,MIMAT0002820,hsa-miR-497-5p,STK33,65975,ENSG00000130413,1,2,0,1,1,0,1,1,6,6
81,MIMAT0002820,hsa-miR-497-5p,STOX2,56977,ENSG00000173320,1,2,1,2,1,0,2,0,6,6
82,MIMAT0002820,hsa-miR-497-5p,SYPL1,6856,ENSG00000008282,2,2,0,1,1,1,0,1,6,6
83,MIMAT0002820,hsa-miR-497-5p,TBPL1,9519,ENSG00000028839,2,2,1,1,2,0,0,1,6,6
84,MIMAT0002820,hsa-miR-497-5p,TMEM100,55273,ENSG00000166292,1,2,0,1,2,0,1,1,6,6
85,MIMAT0002820,hsa-miR-497-5p,TMEM255A,55026,ENSG00000125355,2,2,0,2,0,1,1,1,6,6
86,MIMAT0002820,hsa-miR-497-5p,TUBA1A,7846,ENSG00000167552,1,2,1,1,0,0,1,1,6,6
87,MIMAT0002820,hsa-miR-497-5p,UBR3,130507,ENSG00000144357,1,4,0,1,0,1,1,1,6,6
88,MIMAT0002820,hsa-miR-497-5p,VPS4A,27183,ENSG00000132612,1,2,0,1,1,0,1,1,6,6
89,MIMAT0002820,hsa-miR-497-5p,WEE1,7465,ENSG00000166483,1,2,0,1,2,0,2,1,6,6
90,MIMAT0002820,hsa-miR-497-5p,WNT3A,89780,ENSG00000154342,1,2,0,1,1,0,1,1,6,6
91,MIMAT0002820,hsa-miR-497-5p,XPO7,23039,ENSG00000130227,1,4,0,1,1,0,2,1,6,6
92,MIMAT0002820,hsa-miR-497-5p,YTHDC1,91746,ENSG00000083896,2,2,0,2,1,0,1,1,6,6
93,MIMAT0002820,hsa-miR-497-5p,ZMYM2,7750,ENSG00000121741,2,6,0,1,1,1,0,1,6,6
94,MIMAT0002820,hsa-miR-497-5p,ACVR2A,92,ENSG00000121989,2,4,0,0,1,1,1,0,5,5
95,MIMAT0002820,hsa-miR-497-5p,ACVR2B,93,ENSG00000114739,2,8,0,0,0,1,1,1,5,5
96,MIMAT0002820,hsa-miR-497-5p,AHCYL2,23382,ENSG00000158467,1,4,0,0,2,1,3,0,5,5
97,MIMAT0002820,hsa-miR-497-5p,AMOTL1,154810,ENSG00000166025,1,2,0,0,1,1,0,1,5,5
98,MIMAT0002820,hsa-miR-497-5p,AP2A1,160,ENSG00000196961,1,2,0,1,0,0,1,1,5,5
99,MIMAT0002820,hsa-miR-497-5p,APP,351,ENSG00000142192,1,2,0,1,0,0,1,1,5,5
100,MIMAT0002820,hsa-miR-497-5p,ARHGAP12,94134,ENSG00000165322,1,2,0,1,1,0,1,0,5,5
101,MIMAT0002820,hsa-miR-497-5p,ARIH1,25820,ENSG00000166233,1,4,0,2,1,1,0,0,5,5
102,MIMAT0002820,hsa-miR-497-5p,ARL2,402,ENSG00000213465,1,6,0,0,2,1,0,2,5,5
103,MIMAT0002820,hsa-miR-497-5p,ARL3,403,ENSG00000138175,1,2,0,0,1,0,1,1,5,5
104,MIMAT0002820,hsa-miR-497-5p,ARMCX2,9823,ENSG00000184867,1,2,0,2,1,0,0,1,5,5
105,MIMAT0002820,hsa-miR-497-5p,ATG14,22863,ENSG00000126775,2,4,0,1,1,0,1,0,5,5
106,MIMAT0002820,hsa-miR-497-5p,ATP13A3,79572,ENSG00000133657,1,2,0,1,0,1,1,0,5,5
107,MIMAT0002820,hsa-miR-497-5p,ATXN7L2,127002,ENSG00000162650,1,4,0,2,1,0,0,1,5,5
108,MIMAT0002820,hsa-miR-497-5p,AXIN2,8313,ENSG00000168646,1,4,0,2,1,0,1,0,5,5
109,MIMAT0002820,hsa-miR-497-5p,BCL2L2,599,ENSG00000129473,1,6,0,0,1,1,2,0,5,5
110,MIMAT0002820,hsa-miR-497-5p,BPIFA1,51297,ENSG00000198183,1,2,2,2,0,0,0,1,5,5
111,MIMAT0002820,hsa-miR-497-5p,BTAF1,9044,ENSG00000095564,2,2,0,1,1,0,0,1,5,5
112,MIMAT0002820,hsa-miR-497-5p,BTG2,7832,ENSG00000159388,1,4,0,0,1,1,1,0,5,5
113,MIMAT0002820,hsa-miR-497-5p,BTLA,151888,ENSG00000186265,1,2,0,1,0,1,0,2,5,5
114,MIMAT0002820,hsa-miR-497-5p,C16orf72,29035,ENSG00000182831,1,2,0,1,0,0,1,1,5,5
115,MIMAT0002820,hsa-miR-497-5p,C17orf59,54785,ENSG00000196544,1,4,2,0,0,1,2,0,5,5
116,MIMAT0002820,hsa-miR-497-5p,C1QL3,389941,ENSG00000165985,1,4,0,2,0,0,1,1,5,5
117,MIMAT0002820,hsa-miR-497-5p,C2orf42,54980,ENSG00000115998,2,2,0,2,1,0,0,1,5,5
118,MIMAT0002820,hsa-miR-497-5p,CASK,8573,ENSG00000147044,1,2,0,0,1,1,0,1,5,5
119,MIMAT0002820,hsa-miR-497-5p,CCDC178,374864,ENSG00000166960,1,2,1,1,0,0,0,1,5,5
120,MIMAT0002820,hsa-miR-497-5p,CCDC6,8030,ENSG00000108091,2,4,0,0,1,1,2,0,5,5
121,MIMAT0002820,hsa-miR-497-5p,CCND1,595,ENSG00000110092,0,2,0,0,1,1,2,1,5,5
122,MIMAT0002820,hsa-miR-497-5p,CCNT2,905,ENSG00000082258,2,4,0,2,0,2,3,0,5,5
123,MIMAT0002820,hsa-miR-497-5p,CD28,940,ENSG00000178562,1,2,0,3,0,0,1,1,5,5
124,MIMAT0002820,hsa-miR-497-5p,CDC14A,8556,ENSG00000079335,2,2,0,3,0,0,1,1,5,5
125,MIMAT0002820,hsa-miR-497-5p,CHAC1,79094,ENSG00000128965,2,4,0,0,1,0,1,1,5,5
126,MIMAT0002820,hsa-miR-497-5p,CHPT1,56994,ENSG00000111666,2,4,1,0,1,0,2,0,5,5
127,MIMAT0002820,hsa-miR-497-5p,CLDN12,9069,ENSG00000157224,1,2,0,1,0,0,1,1,5,5
128,MIMAT0002820,hsa-miR-497-5p,COL12A1,1303,ENSG00000111799,2,4,0,2,2,0,1,0,5,5
129,MIMAT0002820,hsa-miR-497-5p,COL24A1,255631,ENSG00000171502,1,2,0,1,0,1,1,0,5,5
130,MIMAT0002820,hsa-miR-497-5p,COPS2,9318,ENSG00000166200,1,2,0,1,0,1,0,1,5,5
131,MIMAT0002820,hsa-miR-497-5p,CPD,1362,ENSG00000108582,2,6,0,0,2,1,3,0,5,5
132,MIMAT0002820,hsa-miR-497-5p,CREBRF,153222,ENSG00000164463,1,4,0,1,0,1,1,0,5,5
133,MIMAT0002820,hsa-miR-497-5p,CRIM1,51232,ENSG00000150938,1,2,0,4,0,0,2,1,5,5
134,MIMAT0002820,hsa-miR-497-5p,CRKL,1399,ENSG00000099942,2,2,0,0,0,1,1,1,5,5
135,MIMAT0002820,hsa-miR-497-5p,DCLK1,9201,ENSG00000133083,1,8,0,0,3,2,2,0,5,5
136,MIMAT0002820,hsa-miR-497-5p,DCP1A,55802,ENSG00000272886,0,2,0,1,1,1,1,0,5,5
137,MIMAT0002820,hsa-miR-497-5p,DMTF1,9988,ENSG00000135164,1,2,0,1,0,0,2,1,5,5
138,MIMAT0002820,hsa-miR-497-5p,DNAJB4,11080,ENSG00000162616,1,2,0,2,2,0,0,2,5,5
139,MIMAT0002820,hsa-miR-497-5p,DYNC1LI2,1783,ENSG00000135720,1,2,0,1,0,0,1,1,5,5
140,MIMAT0002820,hsa-miR-497-5p,DYRK1B,9149,ENSG00000105204,2,2,0,1,1,0,0,1,5,5
141,MIMAT0002820,hsa-miR-497-5p,EDA,1896,ENSG00000158813,1,4,0,0,1,1,1,0,5,5
142,MIMAT0002820,hsa-miR-497-5p,ENAH,55740,ENSG00000154380,1,2,1,0,0,1,1,0,5,5
143,MIMAT0002820,hsa-miR-497-5p,EPHA7,2045,ENSG00000135333,1,2,0,0,1,0,1,1,5,5
144,MIMAT0002820,hsa-miR-497-5p,EYA1,2138,ENSG00000104313,2,2,0,1,0,0,1,1,5,5
145,MIMAT0002820,hsa-miR-497-5p,FAM81A,145773,ENSG00000157470,1,2,0,1,1,0,0,1,5,5
146,MIMAT0002820,hsa-miR-497-5p,FBXO21,23014,ENSG00000135108,1,4,0,0,2,1,0,1,5,5
147,MIMAT0002820,hsa-miR-497-5p,FERMT2,10979,ENSG00000073712,2,2,0,1,1,0,0,1,5,5
148,MIMAT0002820,hsa-miR-497-5p,FLT3,2322,ENSG00000122025,2,2,0,2,1,0,0,1,5,5
149,MIMAT0002820,hsa-miR-497-5p,GABARAPL1,23710,ENSG00000139112,1,2,0,2,1,0,0,1,5,5
150,MIMAT0002820,hsa-miR-497-5p,GRM7,2917,ENSG00000196277,1,2,0,2,2,0,1,0,5,5
151,MIMAT0002820,hsa-miR-497-5p,HELZ,9931,ENSG00000198265,1,2,0,0,0,1,1,1,5,5
152,MIMAT0002820,hsa-miR-497-5p,HMGA2,8091,ENSG00000149948,1,2,0,1,0,0,1,1,5,5
153,MIMAT0002820,hsa-miR-497-5p,IPO7,10527,ENSG00000205339,1,2,0,1,1,0,0,1,5,5
154,MIMAT0002820,hsa-miR-497-5p,IPPK,64768,ENSG00000127080,2,4,0,0,1,0,1,1,5,5
155,MIMAT0002820,hsa-miR-497-5p,IVNS1ABP,10625,ENSG00000116679,2,2,0,2,1,0,1,0,5,5
156,MIMAT0002820,hsa-miR-497-5p,JARID2,3720,ENSG00000008083,2,2,0,1,1,0,1,0,5,5
157,MIMAT0002820,hsa-miR-497-5p,KIF1B,23095,ENSG00000054523,2,8,0,0,1,1,1,0,5,5
158,MIMAT0002820,hsa-miR-497-5p,KRTAP4-4,84616,ENSG00000171396,1,6,0,0,0,1,1,1,5,5
159,MIMAT0002820,hsa-miR-497-5p,LATS1,9113,ENSG00000131023,1,2,0,1,1,1,0,0,5,5
160,MIMAT0002820,hsa-miR-497-5p,LRP6,4040,ENSG00000070018,2,4,1,0,1,1,0,0,5,5
161,MIMAT0002820,hsa-miR-497-5p,LRRFIP2,9209,ENSG00000093167,2,2,0,1,0,0,1,1,5,5
162,MIMAT0002820,hsa-miR-497-5p,MAFK,7975,ENSG00000198517,1,2,0,1,0,0,1,1,5,5
163,MIMAT0002820,hsa-miR-497-5p,MAPRE1,22919,ENSG00000101367,2,2,0,1,0,1,1,0,5,5
164,MIMAT0002820,hsa-miR-497-5p,MBNL2,10150,ENSG00000139793,1,2,0,3,0,0,1,1,5,5
165,MIMAT0002820,hsa-miR-497-5p,MKNK1,8569,ENSG00000079277,2,2,0,2,1,0,0,1,5,5
166,MIMAT0002820,hsa-miR-497-5p,MNT,4335,ENSG00000070444,2,4,0,0,1,1,4,0,5,5
167,MIMAT0002820,hsa-miR-497-5p,MOB4,25843,ENSG00000115540,2,2,0,1,1,0,0,1,5,5
168,MIMAT0002820,hsa-miR-497-5p,MYB,4602,ENSG00000118513,2,4,0,22,1,0,0,1,5,5
169,MIMAT0002820,hsa-miR-497-5p,MYT1L,23040,ENSG00000186487,1,8,0,1,0,1,2,0,5,5
170,MIMAT0002820,hsa-miR-497-5p,NAV1,89796,ENSG00000134369,1,2,0,0,1,1,1,0,5,5
171,MIMAT0002820,hsa-miR-497-5p,NEBL,10529,ENSG00000078114,2,2,0,0,0,2,1,1,5,5
172,MIMAT0002820,hsa-miR-497-5p,NUFIP2,57532,ENSG00000108256,2,2,0,0,1,1,2,0,5,5
173,MIMAT0002820,hsa-miR-497-5p,NUP50,10762,ENSG00000093000,2,2,0,0,2,1,0,1,5,5
174,MIMAT0002820,hsa-miR-497-5p,PAPPA,5069,ENSG00000182752,1,6,0,0,1,1,5,0,5,5
175,MIMAT0002820,hsa-miR-497-5p,PDK4,5166,ENSG00000004799,2,2,0,1,1,0,0,1,5,5
176,MIMAT0002820,hsa-miR-497-5p,POLR3F,10621,ENSG00000132664,1,2,0,2,0,0,1,1,5,5
177,MIMAT0002820,hsa-miR-497-5p,PPM1A,5494,ENSG00000100614,2,6,0,1,1,1,0,0,5,5
178,MIMAT0002820,hsa-miR-497-5p,PPM1D,8493,ENSG00000170836,1,2,0,1,0,0,1,1,5,5
179,MIMAT0002820,hsa-miR-497-5p,PPP1R11,6992,ENSG00000204619,1,2,0,19,1,0,0,1,5,5
180,MIMAT0002820,hsa-miR-497-5p,PPP2R5C,5527,ENSG00000078304,2,2,0,1,0,0,1,1,5,5
181,MIMAT0002820,hsa-miR-497-5p,PRRC2C,23215,ENSG00000117523,2,4,0,1,1,0,2,0,5,5
182,MIMAT0002820,hsa-miR-497-5p,PSMD7,5713,ENSG00000103035,0,2,1,1,0,0,1,1,5,5
183,MIMAT0002820,hsa-miR-497-5p,PTPRR,5801,ENSG00000153233,1,4,0,1,2,0,0,1,5,5
184,MIMAT0002820,hsa-miR-497-5p,RAB10,10890,ENSG00000084733,2,4,0,1,0,0,1,1,5,5
185,MIMAT0002820,hsa-miR-497-5p,RAD23B,5887,ENSG00000119318,0,2,0,1,1,1,0,1,5,5
186,MIMAT0002820,hsa-miR-497-5p,RARB,5915,ENSG00000077092,2,2,0,1,1,0,0,1,5,5
187,MIMAT0002820,hsa-miR-497-5p,RASGEF1B,153020,ENSG00000138670,0,8,0,1,2,1,0,1,5,5
188,MIMAT0002820,hsa-miR-497-5p,RASSF8,11228,ENSG00000123094,2,4,0,1,2,1,0,0,5,5
189,MIMAT0002820,hsa-miR-497-5p,RBM12,10137,ENSG00000244462,1,4,1,1,1,0,0,0,5,5
190,MIMAT0002820,hsa-miR-497-5p,RBM6,10180,ENSG00000004534,2,2,0,1,1,0,0,1,5,5
191,MIMAT0002820,hsa-miR-497-5p,RIMKLB,57494,ENSG00000166532,1,2,0,0,0,1,1,1,5,5
192,MIMAT0002820,hsa-miR-497-5p,RNF111,54778,ENSG00000157450,1,4,0,1,0,1,1,0,5,5
193,MIMAT0002820,hsa-miR-497-5p,RNF138,51444,ENSG00000134758,1,2,0,1,0,0,1,1,5,5
194,MIMAT0002820,hsa-miR-497-5p,RNF144B,255488,ENSG00000137393,1,2,0,0,1,1,0,1,5,5
195,MIMAT0002820,hsa-miR-497-5p,RPS6KA3,6197,ENSG00000177189,1,6,0,0,1,1,1,0,5,5
196,MIMAT0002820,hsa-miR-497-5p,RSPO3,84870,ENSG00000146374,1,2,0,1,0,0,1,1,5,5
197,MIMAT0002820,hsa-miR-497-5p,RUNX1T1,862,ENSG00000079102,2,2,0,1,1,1,0,0,5,5
198,MIMAT0002820,hsa-miR-497-5p,SALL1,6299,ENSG00000103449,2,2,0,1,2,0,0,1,5,5
199,MIMAT0002820,hsa-miR-497-5p,SEL1L3,23231,ENSG00000091490,2,2,0,1,2,0,0,1,5,5
200,MIMAT0002820,hsa-miR-497-5p,SESN1,27244,ENSG00000080546,2,2,0,0,0,1,1,1,5,5
201,MIMAT0002820,hsa-miR-497-5p,SH3BGRL2,83699,ENSG00000198478,1,4,0,0,0,1,1,1,5,5
202,MIMAT0002820,hsa-miR-497-5p,SHOC2,8036,ENSG00000108061,2,4,0,1,2,0,0,1,5,5
203,MIMAT0002820,hsa-miR-497-5p,SLC2A3,6515,ENSG00000059804,2,2,0,1,0,0,1,1,5,5
204,MIMAT0002820,hsa-miR-497-5p,SLC4A4,8671,ENSG00000080493,2,2,0,0,0,2,1,1,5,5
205,MIMAT0002820,hsa-miR-497-5p,SLC7A2,6542,ENSG00000003989,2,2,0,0,0,1,1,1,5,5
206,MIMAT0002820,hsa-miR-497-5p,SNCG,6623,ENSG00000173267,1,2,3,0,0,0,1,1,5,5
207,MIMAT0002820,hsa-miR-497-5p,SNX16,64089,ENSG00000104497,2,2,0,1,1,0,0,1,5,5
208,MIMAT0002820,hsa-miR-497-5p,SPRED1,161742,ENSG00000166068,1,4,0,0,1,0,1,2,5,5
209,MIMAT0002820,hsa-miR-497-5p,SPRYD3,84926,ENSG00000167778,1,8,0,0,1,1,1,0,5,5
210,MIMAT0002820,hsa-miR-497-5p,STRADB,55437,ENSG00000082146,2,2,0,1,2,0,0,1,5,5
211,MIMAT0002820,hsa-miR-497-5p,SYDE2,84144,ENSG00000097096,2,2,0,1,1,0,0,1,5,5
212,MIMAT0002820,hsa-miR-497-5p,SYNJ1,8867,ENSG00000159082,1,4,0,0,3,2,2,0,5,5
213,MIMAT0002820,hsa-miR-497-5p,SYNRG,11276,ENSG00000274047,2,2,0,0,1,1,1,0,5,5
214,MIMAT0002820,hsa-miR-497-5p,SYT3,84258,ENSG00000213023,1,6,0,0,1,0,1,1,5,5
215,MIMAT0002820,hsa-miR-497-5p,SYT4,6860,ENSG00000132872,1,2,0,1,0,0,1,1,5,5
216,MIMAT0002820,hsa-miR-497-5p,TBC1D19,55296,ENSG00000109680,2,2,1,1,0,0,1,0,5,5
217,MIMAT0002820,hsa-miR-497-5p,TBL1XR1,79718,ENSG00000177565,1,6,0,0,1,1,2,0,5,5
218,MIMAT0002820,hsa-miR-497-5p,TENM2,57451,ENSG00000145934,1,2,0,1,1,0,0,1,5,5
219,MIMAT0002820,hsa-miR-497-5p,TGFBR3,7049,ENSG00000069702,2,2,0,0,1,1,1,0,5,5
220,MIMAT0002820,hsa-miR-497-5p,TLE4,7091,ENSG00000106829,0,2,1,1,0,0,2,1,5,5
221,MIMAT0002820,hsa-miR-497-5p,TLK1,9874,ENSG00000198586,1,4,0,2,2,0,0,1,5,5
222,MIMAT0002820,hsa-miR-497-5p,TLL1,7092,ENSG00000038295,2,4,0,0,1,1,0,1,5,5
223,MIMAT0002820,hsa-miR-497-5p,TMC7,79905,ENSG00000170537,1,2,0,1,1,0,0,1,5,5
224,MIMAT0002820,hsa-miR-497-5p,TMCC1,23023,ENSG00000172765,1,6,0,0,1,1,1,0,5,5
225,MIMAT0002820,hsa-miR-497-5p,TMEM178B,100507421,ENSG00000261115,1,2,0,0,1,1,0,1,5,5
226,MIMAT0002820,hsa-miR-497-5p,TNRC6B,23112,ENSG00000100354,2,6,0,0,2,1,3,0,5,5
227,MIMAT0002820,hsa-miR-497-5p,TRAM1,23471,ENSG00000067167,2,2,0,1,0,0,1,1,5,5
